2026-07-17 19:45:25,006 || INFO || predict.py || 34 || Prediction module started.
2026-07-17 19:45:25,007 || INFO || predict.py || 46 || Loading model from: C:\Users\Chandrakant\Desktop\AI-Based-Cyber-Threat-Detection-Framework\models\best_model.pkl
2026-07-17 19:45:25,024 || INFO || predict.py || 52 || Loading scaler from: C:\Users\Chandrakant\Desktop\AI-Based-Cyber-Threat-Detection-Framework\models\scaler.pkl
2026-07-17 19:45:25,025 || INFO || predict.py || 58 || Loading label encoder from: C:\Users\Chandrakant\Desktop\AI-Based-Cyber-Threat-Detection-Framework\models\label_encoder.pkl
2026-07-17 19:45:25,026 || INFO || predict.py || 64 || All trained files loaded successfully.
2026-07-17 19:45:25,092 || INFO || merge_dataset.py || 48 || Merge dataset process started.
2026-07-17 19:45:25,093 || INFO || merge_dataset.py || 55 || Raw data directory: C:\Users\Chandrakant\Desktop\AI-Based-Cyber-Threat-Detection-Framework\data\raw
2026-07-17 19:45:25,093 || INFO || merge_dataset.py || 56 || Output file: C:\Users\Chandrakant\Desktop\AI-Based-Cyber-Threat-Detection-Framework\data\processed\CICIDS2017_Final.csv
2026-07-17 19:45:25,093 || INFO || merge_dataset.py || 64 || Loading dataset: Monday-WorkingHours.pcap_ISCX.csv
2026-07-17 19:45:31,058 || INFO || merge_dataset.py || 71 || Monday-WorkingHours.pcap_ISCX.csv loaded successfully.
2026-07-17 19:45:31,058 || INFO || merge_dataset.py || 78 || Monday-WorkingHours.pcap_ISCX.csv added to dataframe list.
2026-07-17 19:45:31,058 || INFO || merge_dataset.py || 64 || Loading dataset: Tuesday-WorkingHours.pcap_ISCX.csv
2026-07-17 19:45:35,785 || INFO || merge_dataset.py || 71 || Tuesday-WorkingHours.pcap_ISCX.csv loaded successfully.
2026-07-17 19:45:35,785 || INFO || merge_dataset.py || 78 || Tuesday-WorkingHours.pcap_ISCX.csv added to dataframe list.
2026-07-17 19:45:35,785 || INFO || merge_dataset.py || 64 || Loading dataset: Wednesday-workingHours.pcap_ISCX.csv
2026-07-17 19:45:43,428 || INFO || merge_dataset.py || 71 || Wednesday-workingHours.pcap_ISCX.csv loaded successfully.
2026-07-17 19:45:43,429 || INFO || merge_dataset.py || 78 || Wednesday-workingHours.pcap_ISCX.csv added to dataframe list.
2026-07-17 19:45:43,429 || INFO || merge_dataset.py || 64 || Loading dataset: Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv
2026-07-17 19:45:45,261 || INFO || merge_dataset.py || 71 || Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv loaded successfully.
2026-07-17 19:45:45,261 || INFO || merge_dataset.py || 78 || Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv added to dataframe list.
2026-07-17 19:45:45,261 || INFO || merge_dataset.py || 64 || Loading dataset: Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
2026-07-17 19:45:48,251 || INFO || merge_dataset.py || 71 || Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv loaded successfully.
